Fraud_Type,Transcript
Banking,"Hello, this is your bank calling from DBS Bank. We have noticed some suspicious activity on your account. To protect your funds, we need your account details for verification purposes."
Lottery,"Good day! You've won a free vacation package to an exotic destination sponsored by Singapore Airlines. To claim your prize, please provide your personal information."
Government Official,"This is the police department calling from the Singapore Police Force. We have identified a security breach in your neighborhood. We require your address and NRIC number for investigation purposes."
Lottery,"Congratulations! You've been selected as the winner of a cash prize sponsored by Singapore Pools. To receive your winnings, please share your bank account details."
Insurance,"We regret to inform you that your insurance policy with Great Eastern is about to expire. To renew your policy, please provide your NRIC and policy number over the phone."
Tax,"This is the tax department calling from the Inland Revenue Authority of Singapore (IRAS). You have an outstanding tax payment that needs to be settled immediately. To avoid legal consequences, provide your payment details."
Email Scam,"We have detected unauthorized access to your email account. To secure your account, we need your email password and security question answers."
Tech Support,"Your computer has been infected with a virus. To fix the issue, we need remote access to your device. Please download the software provided by Singtel and follow the instructions."
Discount Offer,"You've been selected for a special discount on luxury products from Takashimaya. To claim the offer, share your credit card information for verification."
Survey,"We are conducting a survey on behalf of Singtel, your internet service provider. Kindly provide your login credentials for quality assurance purposes."
Government Official,"This is an urgent message from the immigration office, Ministry of Home Affairs. Your residency status is in question, and we need your personal details to resolve the matter."
Lottery,"Congratulations! You've won a brand new car in a lucky draw sponsored by BMW Singapore. To claim your prize, share your driver's license and registration details."
Credit Card,"We have detected fraudulent activity on your credit card issued by OCBC Bank. To prevent any unauthorized charges, please provide your card number, expiry date, and CVV."
Loan Offer,"You've been pre-approved for a loan with low-interest rates from Standard Chartered Bank. To proceed with the application, we require your NRIC and employment details."
Lottery,"Hello, this is the lottery commission. You've won a substantial cash prize sponsored by Singapore Turf Club. To claim your winnings, provide your bank account information for the transfer."
Banking,"Your account has been compromised. To secure your funds, we need your online banking credentials. Please provide your username and password."
Government Grant,"We are calling from the government grant department, administered by Enterprise Singapore. You qualify for a grant. To receive the funds, provide your bank account details for verification."
PayPal Scam,"Your PayPal account has been suspended due to suspicious activity. To reactivate it, we need your login credentials and a photo ID for verification."
Online Store,"This is the customer service department of Lazada Singapore. Your recent order requires additional information. Please provide your credit card details for verification."
Discount Offer,"You've won a trip to a luxurious resort sponsored by Marina Bay Sands. To claim your prize, we need your credit card information for verification purposes."
Hacking Scam,"We regret to inform you that your social media account has been hacked. To recover it, please share your login credentials with us."
Utility Bill,"This is an urgent message from SP Group. Your electricity bill is overdue, and we require immediate payment. Please provide your credit card details for processing."
Beta Testing,"Congratulations! You've been selected as a beta tester for a new mobile app developed by Grab. To participate, we need your email address and app store account details."
Charity,"We are calling from the charity organization, Community Chest. Your generous donation will make a difference. To contribute, please provide your credit card information."
Software Renewal,"Your antivirus software from Norton has expired. To renew the license, provide your payment details over the phone."
Investment Offer,"Hello, this is the investment company, Temasek Holdings. We have a lucrative opportunity for you. To proceed, we need your bank account details for fund transfer."
Hacking Scam,"We have detected a security breach on your social media account. To secure it, please provide your username, password, and date of birth."
Free Trial,"You've won a free trial for a premium subscription from Singtel. To activate it, we need your credit card information for verification."
Warranty,"This is the warranty department calling from Courts Singapore. Your product warranty is about to expire. To extend it, provide your purchase details and credit card information."
Discount Offer,"Congratulations! You've won a shopping spree at ION Orchard. To claim your prize, share your credit card details for verification."
Government Census,"We are calling from the government census bureau, administered by the Singapore Department of Statistics. To update your information, we need your NRIC and home address."
Hacking Scam,"Your email account has been hacked. To recover it, we need your email address, password, and security question answers."
Tech Support,"This is the technical support team from Singtel. Your internet connection has a critical issue. To fix it, we need your credit card information for the repair service."
Cashback Reward,"You've been selected for a cashback reward program by UOB. To participate, provide your credit card details for enrollment."
Insurance Survey,"We are conducting a survey on behalf of NTUC Income, your insurance provider. To participate, provide your policy number and personal information."
Prize Scam,"Congratulations! You've won a luxury watch in a lucky draw sponsored by The Hour Glass. To receive your prize, share your address and credit card details for shipping."
Tax Scam,"This is the government tax office, administered by IRAS. You have unpaid taxes. To avoid legal consequences, provide your payment details."
Utility Discount,"You've qualified for a discount on your utility bills from Geneco. To apply the discount, we require your NRIC and account details."
Tech Support,"We are calling from the technical support team at StarHub. Your internet connection has been compromised. To resolve the issue, provide your login credentials."
Prize Scam,"Congratulations! You've won a vacation package to an exclusive destination sponsored by Singapore Tourism Board. To claim your prize, provide your personal information."
Credit Card,"This is the credit card company calling from Citibank. Your card has been locked for security reasons. To unlock it, provide your card number and security code."
Survey,"You've been selected for a survey on consumer preferences conducted by Nielsen. To participate, provide your personal information and credit card details."
Gaming Account,"We have detected a security breach on your online gaming account. To secure it, please provide your username, password, and date of birth."
Health Insurance,"Hello, this is the health insurance company, Prudential Singapore. We have a special offer for you. To proceed, we need your NRIC and bank account details."
Banking,"Hello, this is your bank calling from DBS Bank. We have noticed some suspicious activity on your account. To protect your funds, we need your account details for verification purposes."
Lottery,"Good day! You've won a free vacation package to an exotic destination sponsored by Singapore Airlines. To claim your prize, please provide your personal information."
Government Official,"This is the police department calling from the Singapore Police Force. We have identified a security breach in your neighborhood. We require your address and NRIC number for investigation purposes."
Lottery,"Congratulations! You've been selected as the winner of a cash prize sponsored by Singapore Pools. To receive your winnings, please share your bank account details."
Insurance,"We regret to inform you that your insurance policy with Great Eastern is about to expire. To renew your policy, please provide your NRIC and policy number over the phone."
Tax,"This is the tax department calling from the Inland Revenue Authority of Singapore (IRAS). You have an outstanding tax payment that needs to be settled immediately. To avoid legal consequences, provide your payment details."
